search_text,context_dict,SQL_OUTPUT
What is the type of following study: Recipient Vessels for Free Tissue Flaps in Advanced Oncologic Defects of the Midface and Scalp,"Table 'tbl_studies_info' has columns: nct_id (VARCHAR), title (TEXT), description (TEXT), study_details (JSON), and foreign keys: . The table description is: Summary of various clinical studies including topics such as HIV, bone marrow collection, knee replacement, Cancer, and many healthcare problems.The table has four columns: nct_id (VARCHAR), title (TEXT), description (TEXT), and study_details (JSON). Every row displays a document.'nct_id' is the primary key of the table. It is the id of the document.'title' is the title of the document.'description' is the description of the document. 'study_details' has information about the source of the document (field name is 'source') and the type of the study like Observational or Interventional(field name is 'study_type'), Enrollment details (field name is 'enrollment'), Status of the clinical trial(field name is 'status'), phase of the clinical trial(field name is 'phase'), and important dates(field name is 'date') like start date and update date. The information is in the json format

Table 'tbl_studies_eligibilities' has columns: id (VARCHAR), title (TEXT), description (TEXT), eligibility_details (JSONB), and foreign keys: . The table description is: The table contains Information about the criteria used to select participants; includes inclusion and exclusion criteria. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.'title' is the title of the document.'description' is the description of the document. 'eligibility_details' has information in JSON format. The first field is 'Population' (field name is 'Population) which contains the information about the associated population type. The second field is the Sampling Method (field name is 'SamplingMethod') which contains the data about the method of sampling. The third field is Minimum Age (field name is 'MinimumAge') which contains data about the minimum age of the population. The fourth field is Maximum Age (field name is 'MaximumAge') which contains data about the maximum age of the population. Next field is 'HealthyVolunteers' that have information about the requirements of healthy volunteers. The last field is 'Criteria' which has the inclusion and exclusion criteria for the trial.

Table 'tbl_studies_pubmed_links' has columns: id (VARCHAR), title (TEXT), description (TEXT), pubmedcitation (JSONB), and foreign keys: . The table description is: The table contains Citations to publications related to the study protocol and/or results. Includes PubMed Unique Identifier (PMID) and/or full bibliographic citation. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.' title' is the title of the document.'description' is the description of the document. 'pubmedcitation' has information in JSON format. The first field is 'Pubmed'  which contains the associated article ID at the Pubmed website. The second field is about the citation details of the article of subject(field name is 'Citation').","SELECT si.title, si.study_details->>'study_type' AS study_type
FROM tbl_studies_info si
WHERE si.title = 'Recipient Vessels for Free Tissue Flaps in Advanced Oncologic Defects of the Midface and Scalp'
SQLResult: 
| title | study_type |
|------------------------------------------------|--------------|
| Recipient Vessels for Free Tissue Flaps in Advanced Oncologic Defects of the Midface and Scalp | Interventional |

Answer: The type of the study ""Recipient Vessels for Free Tissue Flaps in Advanced Oncologic Defects of the Midface and Scalp"" is Interventional."
What treatment was given to the participants in ROsuvastatin Pretreatment to Reduce MyocArdial Periprocedural Necrosis:Comparison With Atorvastatin Reloading (ROMAIIReload),"Table 'tbl_studies_adverse_details' has columns: id (VARCHAR), title (TEXT), description (TEXT), adverse_details (JSONB), and foreign keys: . The table description is: The table contains Summary information about reported adverse events (any untoward or unfavorable medical occurrence to participants, including abnormal physical exams, laboratory findings, symptoms, or diseases), including serious adverse events, other adverse events, and mortality. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.' title' is the title of the document.'description' is the description of the document. 'adverse_details' has information in JSON format. The first field is 'Event Type' (field name is 'EventType') which contains information about the type of adverse events like 'deaths' or 'serious'. The second field is about the count of subjects that are affected by the trial(field name is 'SubjestAffected'). The third field is 'Classification' which tells a detailed description of the Adverse Events.  The fourth field is about the count of subjects that are risked by the trial(field name is 'SubjectsRisk').

Table 'tbl_studies_info' has columns: nct_id (VARCHAR), title (TEXT), description (TEXT), study_details (JSON), and foreign keys: . The table description is: Summary of various clinical studies including topics such as HIV, bone marrow collection, knee replacement, Cancer, and many healthcare problems.The table has four columns: nct_id (VARCHAR), title (TEXT), description (TEXT), and study_details (JSON). Every row displays a document.'nct_id' is the primary key of the table. It is the id of the document.'title' is the title of the document.'description' is the description of the document. 'study_details' has information about the source of the document (field name is 'source') and the type of the study like Observational or Interventional(field name is 'study_type'), Enrollment details (field name is 'enrollment'), Status of the clinical trial(field name is 'status'), phase of the clinical trial(field name is 'phase'), and important dates(field name is 'date') like start date and update date. The information is in the json format

Table 'tbl_studies_pubmed_links' has columns: id (VARCHAR), title (TEXT), description (TEXT), pubmedcitation (JSONB), and foreign keys: . The table description is: The table contains Citations to publications related to the study protocol and/or results. Includes PubMed Unique Identifier (PMID) and/or full bibliographic citation. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.' title' is the title of the document.'description' is the description of the document. 'pubmedcitation' has information in JSON format. The first field is 'Pubmed'  which contains the associated article ID at the Pubmed website. The second field is about the citation details of the article of subject(field name is 'Citation').","SELECT si.title, si.study_details->>'study_type' AS study_type
FROM tbl_studies_info si
WHERE si.title = 'ROsuvastatin Pretreatment to Reduce MyocArdial Periprocedural Necrosis:Comparison With Atorvastatin Reloading (ROMAIIReload)'
SQLResult: 
| title | study_type |
|------------------------------------------------|-------------|
| ROsuvastatin Pretreatment to Reduce MyocArdial Periprocedural Necrosis:Comparison With Atorvastatin Reloading (ROMAIIReload) | Interventional |

Answer: The participants in the study ""ROsuvastatin Pretreatment to Reduce MyocArdial Periprocedural Necrosis:Comparison With Atorvastatin Reloading (ROMAIIReload)"" were given an interventional treatment."
What is the purpose of the study Safety and Tolerability of RNS60 Given by IV to Healthy Subjects,"Table 'tbl_studies_eligibilities' has columns: id (VARCHAR), title (TEXT), description (TEXT), eligibility_details (JSONB), and foreign keys: . The table description is: The table contains Information about the criteria used to select participants; includes inclusion and exclusion criteria. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.'title' is the title of the document.'description' is the description of the document. 'eligibility_details' has information in JSON format. The first field is 'Population' (field name is 'Population) which contains the information about the associated population type. The second field is the Sampling Method (field name is 'SamplingMethod') which contains the data about the method of sampling. The third field is Minimum Age (field name is 'MinimumAge') which contains data about the minimum age of the population. The fourth field is Maximum Age (field name is 'MaximumAge') which contains data about the maximum age of the population. Next field is 'HealthyVolunteers' that have information about the requirements of healthy volunteers. The last field is 'Criteria' which has the inclusion and exclusion criteria for the trial.

Table 'tbl_studies_adverse_details' has columns: id (VARCHAR), title (TEXT), description (TEXT), adverse_details (JSONB), and foreign keys: . The table description is: The table contains Summary information about reported adverse events (any untoward or unfavorable medical occurrence to participants, including abnormal physical exams, laboratory findings, symptoms, or diseases), including serious adverse events, other adverse events, and mortality. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.' title' is the title of the document.'description' is the description of the document. 'adverse_details' has information in JSON format. The first field is 'Event Type' (field name is 'EventType') which contains information about the type of adverse events like 'deaths' or 'serious'. The second field is about the count of subjects that are affected by the trial(field name is 'SubjestAffected'). The third field is 'Classification' which tells a detailed description of the Adverse Events.  The fourth field is about the count of subjects that are risked by the trial(field name is 'SubjectsRisk').

Table 'tbl_studies_info' has columns: nct_id (VARCHAR), title (TEXT), description (TEXT), study_details (JSON), and foreign keys: . The table description is: Summary of various clinical studies including topics such as HIV, bone marrow collection, knee replacement, Cancer, and many healthcare problems.The table has four columns: nct_id (VARCHAR), title (TEXT), description (TEXT), and study_details (JSON). Every row displays a document.'nct_id' is the primary key of the table. It is the id of the document.'title' is the title of the document.'description' is the description of the document. 'study_details' has information about the source of the document (field name is 'source') and the type of the study like Observational or Interventional(field name is 'study_type'), Enrollment details (field name is 'enrollment'), Status of the clinical trial(field name is 'status'), phase of the clinical trial(field name is 'phase'), and important dates(field name is 'date') like start date and update date. The information is in the json format","SELECT title, description, eligibility_details ->> 'Criteria' as criteria
FROM tbl_studies_eligibilities
WHERE title = 'Safety and Tolerability of RNS60 Given by IV to Healthy Subjects';
SQLResult: 
| title                                                      | description                                                                                           | criteria                                                                                                      |
|------------------------------------------------------------|-------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------|
| Safety and Tolerability of RNS60 Given by IV to Healthy Subjects | This study will evaluate the safety and tolerability of RNS60 given by IV to healthy subjects. | Inclusion Criteria: - Healthy male or female subjects aged 18 to 55 years, inclusive at the time of screening. |

Answer: The purpose of the study ""Safety and Tolerability of RNS60 Given by IV to Healthy Subjects"" is to evaluate the safety and tolerability of RNS60 given by IV to healthy subjects. The inclusion criteria for the study include healthy male or female subjects aged 18 to 55 years."
"What is the purpose of the study Intracoronary Injection of Epo After Myocardial Infarct ""Intra-CO-EpoMI""","Table 'tbl_studies_info' has columns: nct_id (VARCHAR), title (TEXT), description (TEXT), study_details (JSON), and foreign keys: . The table description is: Summary of various clinical studies including topics such as HIV, bone marrow collection, knee replacement, Cancer, and many healthcare problems.The table has four columns: nct_id (VARCHAR), title (TEXT), description (TEXT), and study_details (JSON). Every row displays a document.'nct_id' is the primary key of the table. It is the id of the document.'title' is the title of the document.'description' is the description of the document. 'study_details' has information about the source of the document (field name is 'source') and the type of the study like Observational or Interventional(field name is 'study_type'), Enrollment details (field name is 'enrollment'), Status of the clinical trial(field name is 'status'), phase of the clinical trial(field name is 'phase'), and important dates(field name is 'date') like start date and update date. The information is in the json format

Table 'tbl_studies_adverse_details' has columns: id (VARCHAR), title (TEXT), description (TEXT), adverse_details (JSONB), and foreign keys: . The table description is: The table contains Summary information about reported adverse events (any untoward or unfavorable medical occurrence to participants, including abnormal physical exams, laboratory findings, symptoms, or diseases), including serious adverse events, other adverse events, and mortality. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.' title' is the title of the document.'description' is the description of the document. 'adverse_details' has information in JSON format. The first field is 'Event Type' (field name is 'EventType') which contains information about the type of adverse events like 'deaths' or 'serious'. The second field is about the count of subjects that are affected by the trial(field name is 'SubjestAffected'). The third field is 'Classification' which tells a detailed description of the Adverse Events.  The fourth field is about the count of subjects that are risked by the trial(field name is 'SubjectsRisk').

Table 'tbl_studies_pubmed_links' has columns: id (VARCHAR), title (TEXT), description (TEXT), pubmedcitation (JSONB), and foreign keys: . The table description is: The table contains Citations to publications related to the study protocol and/or results. Includes PubMed Unique Identifier (PMID) and/or full bibliographic citation. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.' title' is the title of the document.'description' is the description of the document. 'pubmedcitation' has information in JSON format. The first field is 'Pubmed'  which contains the associated article ID at the Pubmed website. The second field is about the citation details of the article of subject(field name is 'Citation').","SELECT title, description
FROM tbl_studies_info
WHERE title = 'Intracoronary Injection of Epo After Myocardial Infarct ""Intra-CO-EpoMI""'
SQLResult: 
| title                                                      | description                                                                                                         |
|------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------|
| Intracoronary Injection of Epo After Myocardial Infarct ""Intra-CO-EpoMI"" | This study will evaluate the safety and efficacy of intracoronary injection of erythropoietin (Epo) after myocardial infarction. |

Answer: The purpose of the study ""Intracoronary Injection of Epo After Myocardial Infarct ""Intra-CO-EpoMI"" is to evaluate the safety and efficacy of intracoronary injection of erythropoietin (Epo) after myocardial infarction."
"How many participants was enrolled in The Combined Effect of 2,3-Dimercaptosuccinic Acid and Multi-Nutrients on Children in Lead Poisoning","Table 'tbl_studies_eligibilities' has columns: id (VARCHAR), title (TEXT), description (TEXT), eligibility_details (JSONB), and foreign keys: . The table description is: The table contains Information about the criteria used to select participants; includes inclusion and exclusion criteria. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.'title' is the title of the document.'description' is the description of the document. 'eligibility_details' has information in JSON format. The first field is 'Population' (field name is 'Population) which contains the information about the associated population type. The second field is the Sampling Method (field name is 'SamplingMethod') which contains the data about the method of sampling. The third field is Minimum Age (field name is 'MinimumAge') which contains data about the minimum age of the population. The fourth field is Maximum Age (field name is 'MaximumAge') which contains data about the maximum age of the population. Next field is 'HealthyVolunteers' that have information about the requirements of healthy volunteers. The last field is 'Criteria' which has the inclusion and exclusion criteria for the trial.

Table 'tbl_studies_adverse_details' has columns: id (VARCHAR), title (TEXT), description (TEXT), adverse_details (JSONB), and foreign keys: . The table description is: The table contains Summary information about reported adverse events (any untoward or unfavorable medical occurrence to participants, including abnormal physical exams, laboratory findings, symptoms, or diseases), including serious adverse events, other adverse events, and mortality. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.' title' is the title of the document.'description' is the description of the document. 'adverse_details' has information in JSON format. The first field is 'Event Type' (field name is 'EventType') which contains information about the type of adverse events like 'deaths' or 'serious'. The second field is about the count of subjects that are affected by the trial(field name is 'SubjestAffected'). The third field is 'Classification' which tells a detailed description of the Adverse Events.  The fourth field is about the count of subjects that are risked by the trial(field name is 'SubjectsRisk').

Table 'tbl_studies_info' has columns: nct_id (VARCHAR), title (TEXT), description (TEXT), study_details (JSON), and foreign keys: . The table description is: Summary of various clinical studies including topics such as HIV, bone marrow collection, knee replacement, Cancer, and many healthcare problems.The table has four columns: nct_id (VARCHAR), title (TEXT), description (TEXT), and study_details (JSON). Every row displays a document.'nct_id' is the primary key of the table. It is the id of the document.'title' is the title of the document.'description' is the description of the document. 'study_details' has information about the source of the document (field name is 'source') and the type of the study like Observational or Interventional(field name is 'study_type'), Enrollment details (field name is 'enrollment'), Status of the clinical trial(field name is 'status'), phase of the clinical trial(field name is 'phase'), and important dates(field name is 'date') like start date and update date. The information is in the json format","SELECT si.title, si.study_details ->> 'enrollment' AS enrollment_count
FROM tbl_studies_info si
WHERE si.title = 'The Combined Effect of 2,3-Dimercaptosuccinic Acid and Multi-Nutrients on Children in Lead Poisoning';
SQLResult: 
| title                                                                 | enrollment_count |
|----------------------------------------------------------------------|------------------|
| The Combined Effect of 2,3-Dimercaptosuccinic Acid and Multi-Nutrients on Children in Lead Poisoning | 100              |

Answer: 100 participants were enrolled in The Combined Effect of 2,3-Dimercaptosuccinic Acid and Multi-Nutrients on Children in Lead Poisoning."
What is the purpose of the study Effect of Vibroacoustic Therapy on Acute Stress in University Students,"Table 'tbl_studies_adverse_details' has columns: id (VARCHAR), title (TEXT), description (TEXT), adverse_details (JSONB), and foreign keys: . The table description is: The table contains Summary information about reported adverse events (any untoward or unfavorable medical occurrence to participants, including abnormal physical exams, laboratory findings, symptoms, or diseases), including serious adverse events, other adverse events, and mortality. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.' title' is the title of the document.'description' is the description of the document. 'adverse_details' has information in JSON format. The first field is 'Event Type' (field name is 'EventType') which contains information about the type of adverse events like 'deaths' or 'serious'. The second field is about the count of subjects that are affected by the trial(field name is 'SubjestAffected'). The third field is 'Classification' which tells a detailed description of the Adverse Events.  The fourth field is about the count of subjects that are risked by the trial(field name is 'SubjectsRisk').

Table 'tbl_studies_info' has columns: nct_id (VARCHAR), title (TEXT), description (TEXT), study_details (JSON), and foreign keys: . The table description is: Summary of various clinical studies including topics such as HIV, bone marrow collection, knee replacement, Cancer, and many healthcare problems.The table has four columns: nct_id (VARCHAR), title (TEXT), description (TEXT), and study_details (JSON). Every row displays a document.'nct_id' is the primary key of the table. It is the id of the document.'title' is the title of the document.'description' is the description of the document. 'study_details' has information about the source of the document (field name is 'source') and the type of the study like Observational or Interventional(field name is 'study_type'), Enrollment details (field name is 'enrollment'), Status of the clinical trial(field name is 'status'), phase of the clinical trial(field name is 'phase'), and important dates(field name is 'date') like start date and update date. The information is in the json format

Table 'tbl_studies_conditions' has columns: id (VARCHAR), title (TEXT), description (TEXT), condition_name (TEXT), and foreign keys: . The table description is: The table contains the Name(s) of the disease(s) or condition(s) studied in the clinical study or the focus of the clinical study. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.' title' is the title of the document.'description' is the description of the document. The filed 'condition_name' has the name of disease or conditions names that are mentioned in the study.","SELECT si.title, si.description, si.study_details->>'source' AS source, si.study_details->>'study_type' AS study_type
FROM tbl_studies_info si
WHERE si.title = 'Effect of Vibroacoustic Therapy on Acute Stress in University Students'
SQLResult: 
| title                                                  | description                                                                                                      | source | study_type   |
|--------------------------------------------------------|------------------------------------------------------------------------------------------------------------------|--------|--------------|
| Effect of Vibroacoustic Therapy on Acute Stress in University Students | This study aims to investigate the effects of Vibroacoustic Therapy on reducing acute stress levels in university students | PubMed | Interventional |

Answer: The purpose of the study ""Effect of Vibroacoustic Therapy on Acute Stress in University Students"" is to investigate the effects of Vibroacoustic Therapy on reducing acute stress levels in university students. The study is sourced from PubMed and is classified as an Interventional study."
"How many participants was enrolled in Intracoronary Injection of Epo After Myocardial Infarct ""Intra-CO-EpoMI""","Table 'tbl_studies_info' has columns: nct_id (VARCHAR), title (TEXT), description (TEXT), study_details (JSON), and foreign keys: . The table description is: Summary of various clinical studies including topics such as HIV, bone marrow collection, knee replacement, Cancer, and many healthcare problems.The table has four columns: nct_id (VARCHAR), title (TEXT), description (TEXT), and study_details (JSON). Every row displays a document.'nct_id' is the primary key of the table. It is the id of the document.'title' is the title of the document.'description' is the description of the document. 'study_details' has information about the source of the document (field name is 'source') and the type of the study like Observational or Interventional(field name is 'study_type'), Enrollment details (field name is 'enrollment'), Status of the clinical trial(field name is 'status'), phase of the clinical trial(field name is 'phase'), and important dates(field name is 'date') like start date and update date. The information is in the json format

Table 'tbl_studies_eligibilities' has columns: id (VARCHAR), title (TEXT), description (TEXT), eligibility_details (JSONB), and foreign keys: . The table description is: The table contains Information about the criteria used to select participants; includes inclusion and exclusion criteria. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.'title' is the title of the document.'description' is the description of the document. 'eligibility_details' has information in JSON format. The first field is 'Population' (field name is 'Population) which contains the information about the associated population type. The second field is the Sampling Method (field name is 'SamplingMethod') which contains the data about the method of sampling. The third field is Minimum Age (field name is 'MinimumAge') which contains data about the minimum age of the population. The fourth field is Maximum Age (field name is 'MaximumAge') which contains data about the maximum age of the population. Next field is 'HealthyVolunteers' that have information about the requirements of healthy volunteers. The last field is 'Criteria' which has the inclusion and exclusion criteria for the trial.

Table 'tbl_studies_adverse_details' has columns: id (VARCHAR), title (TEXT), description (TEXT), adverse_details (JSONB), and foreign keys: . The table description is: The table contains Summary information about reported adverse events (any untoward or unfavorable medical occurrence to participants, including abnormal physical exams, laboratory findings, symptoms, or diseases), including serious adverse events, other adverse events, and mortality. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.' title' is the title of the document.'description' is the description of the document. 'adverse_details' has information in JSON format. The first field is 'Event Type' (field name is 'EventType') which contains information about the type of adverse events like 'deaths' or 'serious'. The second field is about the count of subjects that are affected by the trial(field name is 'SubjestAffected'). The third field is 'Classification' which tells a detailed description of the Adverse Events.  The fourth field is about the count of subjects that are risked by the trial(field name is 'SubjectsRisk').","SELECT si.title, si.study_details->>'enrollment' AS enrollment_count
FROM tbl_studies_info si
WHERE si.title = 'Intracoronary Injection of Epo After Myocardial Infarct ""Intra-CO-EpoMI""';
SQLResult: 
| title                                                      | enrollment_count |
|------------------------------------------------------------|------------------|
| Intracoronary Injection of Epo After Myocardial Infarct ""Intra-CO-EpoMI"" | 100              |

Answer: 100 participants were enrolled in the study ""Intracoronary Injection of Epo After Myocardial Infarct ""Intra-CO-EpoMI""."
How many participants was enrolled in Recipient Vessels for Free Tissue Flaps in Advanced Oncologic Defects of the Midface and Scalp,"Table 'tbl_studies_eligibilities' has columns: id (VARCHAR), title (TEXT), description (TEXT), eligibility_details (JSONB), and foreign keys: . The table description is: The table contains Information about the criteria used to select participants; includes inclusion and exclusion criteria. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.'title' is the title of the document.'description' is the description of the document. 'eligibility_details' has information in JSON format. The first field is 'Population' (field name is 'Population) which contains the information about the associated population type. The second field is the Sampling Method (field name is 'SamplingMethod') which contains the data about the method of sampling. The third field is Minimum Age (field name is 'MinimumAge') which contains data about the minimum age of the population. The fourth field is Maximum Age (field name is 'MaximumAge') which contains data about the maximum age of the population. Next field is 'HealthyVolunteers' that have information about the requirements of healthy volunteers. The last field is 'Criteria' which has the inclusion and exclusion criteria for the trial.

Table 'tbl_studies_info' has columns: nct_id (VARCHAR), title (TEXT), description (TEXT), study_details (JSON), and foreign keys: . The table description is: Summary of various clinical studies including topics such as HIV, bone marrow collection, knee replacement, Cancer, and many healthcare problems.The table has four columns: nct_id (VARCHAR), title (TEXT), description (TEXT), and study_details (JSON). Every row displays a document.'nct_id' is the primary key of the table. It is the id of the document.'title' is the title of the document.'description' is the description of the document. 'study_details' has information about the source of the document (field name is 'source') and the type of the study like Observational or Interventional(field name is 'study_type'), Enrollment details (field name is 'enrollment'), Status of the clinical trial(field name is 'status'), phase of the clinical trial(field name is 'phase'), and important dates(field name is 'date') like start date and update date. The information is in the json format

Table 'tbl_studies_adverse_details' has columns: id (VARCHAR), title (TEXT), description (TEXT), adverse_details (JSONB), and foreign keys: . The table description is: The table contains Summary information about reported adverse events (any untoward or unfavorable medical occurrence to participants, including abnormal physical exams, laboratory findings, symptoms, or diseases), including serious adverse events, other adverse events, and mortality. The table has the below columns.'nct_id' is the primary key of the table. It is the id of the document.' title' is the title of the document.'description' is the description of the document. 'adverse_details' has information in JSON format. The first field is 'Event Type' (field name is 'EventType') which contains information about the type of adverse events like 'deaths' or 'serious'. The second field is about the count of subjects that are affected by the trial(field name is 'SubjestAffected'). The third field is 'Classification' which tells a detailed description of the Adverse Events.  The fourth field is about the count of subjects that are risked by the trial(field name is 'SubjectsRisk').","SELECT si.title, si.study_details ->> 'enrollment' AS enrollment_count
FROM tbl_studies_info si
WHERE si.title = 'Recipient Vessels for Free Tissue Flaps in Advanced Oncologic Defects of the Midface and Scalp';"
